T,a,da/dT
786.4663867,0.991775497,0.000109294
787.7016933,0.99190497,0.00010481
788.9364067,0.992026121,9.81211E-05
790.1741467,0.992153844,0.00010319
791.41208,0.992269754,9.36316E-05
792.6517267,0.99237547,8.52793E-05
793.8892267,0.99247411,7.97089E-05
795.1269267,0.992572075,7.91515E-05
796.3661733,0.992674777,8.28747E-05
797.6053533,0.992762166,7.05213E-05
798.8478267,0.992850959,7.14644E-05
800.09122,0.992939845,7.14868E-05
801.33468,0.993026859,6.99774E-05
802.5763667,0.993115212,7.11554E-05
803.8197067,0.993179677,5.18482E-05
805.0618733,0.993256694,6.20024E-05
806.3050867,0.993339692,6.67613E-05
807.54996,0.993410541,5.69124E-05
808.79074,0.993489402,6.35578E-05
810.0342133,0.993555103,5.28363E-05
811.2752933,0.993631175,6.12949E-05
812.52062,0.993698036,5.36897E-05
813.76588,0.993767471,5.57597E-05
815.0078333,0.993833369,5.30593E-05
816.2524933,0.993893902,4.86347E-05
817.4960067,0.99396857,6.00458E-05
818.7412333,0.994028355,4.80112E-05
819.9858733,0.99408404,4.47398E-05
821.2314933,0.99415633,5.80356E-05
822.47648,0.994219372,5.06368E-05
823.72016,0.994280879,4.94557E-05
824.9615133,0.994341647,4.89527E-05
826.2067,0.994407937,5.32372E-05
827.4512667,0.994467713,4.80291E-05
828.6966533,0.994519962,4.19546E-05
829.9419067,0.994585148,5.23474E-05
831.1875667,0.994651373,5.31644E-05
832.4310533,0.994702733,4.13036E-05
833.6783333,0.994764184,4.9268E-05
834.9225067,0.994830549,5.33407E-05
836.16382,0.994894565,5.15709E-05
837.40878,0.994955398,4.88635E-05
838.6535533,0.995032275,6.17597E-05
839.89516,0.995089682,4.62363E-05
841.14042,0.995165932,6.1232E-05
842.3829133,0.995244784,6.34626E-05
843.6267467,0.995326154,6.54186E-05
844.8691667,0.995411717,6.88682E-05
846.1143333,0.995501839,7.23773E-05
847.3573133,0.995580372,6.31817E-05
848.6039667,0.995668819,7.0947E-05
849.84896,0.995760195,7.33948E-05
851.0939533,0.995863149,8.26951E-05
852.3395333,0.995971477,8.69697E-05
853.58518,0.996073075,8.15622E-05
854.8310667,0.996176395,8.29288E-05
856.07572,0.996291144,9.21935E-05
857.32306,0.996406136,9.21901E-05
858.5666333,0.99652784,9.78661E-05
859.81114,0.996652342,0.000100042
861.0567933,0.996781534,0.000103714
862.3028067,0.996912542,0.000105142
863.5489867,0.997042268,0.000104099
864.7959467,0.997193204,0.000121043
866.0412533,0.997320356,0.000102105
867.2861,0.997464337,0.000115662
868.5300267,0.997618577,0.000123995
869.77778,0.997760275,0.000113562
871.0239533,0.997922144,0.000129893
872.2686867,0.998082815,0.000129081
873.51302,0.998226872,0.00011577
874.75852,0.998375645,0.000119449
876.0048933,0.99854153,0.000133094
877.2524667,0.998687824,0.000117262
878.49926,0.998855487,0.000134476
879.7466867,0.998994039,0.000111071
880.9904533,0.999145958,0.000122144
882.23556,0.999281946,0.000109218
883.48356,0.999414489,0.000106204
884.7300667,0.999533469,9.54506E-05
885.9776733,0.999656025,9.82325E-05
887.22654,0.99975955,8.28959E-05
888.4716533,0.999857423,7.8605E-05
889.7208667,0.999944062,6.93554E-05
890.9678533,1,4.48583E-05
